,location,number_of_accidents
23404,"(34.0967, -118.3043)",3
23405,"(34.0967, -118.3056)",15
23406,"(34.0967, -118.3366)",6
23407,"(34.0967, -118.338)",7
23408,"(34.0967, -118.4147)",3
23409,"(34.0967, -118.4772)",16
23410,"(34.0968, -118.2088)",5
23411,"(34.0968, -118.2254)",4
23412,"(34.0968, -118.2704)",1
23413,"(34.0968, -118.2961)",2
23414,"(34.0968, -118.2972)",2
23415,"(34.0968, -118.3109)",1
23416,"(34.0968, -118.3756)",3
23417,"(34.0968, -118.458)",1
23418,"(34.0968, -118.4777)",1
23419,"(34.0969, -118.2021)",1
23420,"(34.0969, -118.2929)",3
23421,"(34.0969, -118.294)",1
23422,"(34.0969, -118.3092)",17
23423,"(34.0969, -118.3109)",9
23424,"(34.0969, -118.3705)",1
23425,"(34.0969, -118.3882)",1
23426,"(34.0969, -118.4062)",1
23427,"(34.0969, -118.4222)",3
23428,"(34.0969, -118.4771)",2
23429,"(34.097, -118.1684)",1
23430,"(34.097, -118.1695)",5
23431,"(34.097, -118.1705)",2
23432,"(34.097, -118.2065)",17
23433,"(34.097, -118.2113)",1
23434,"(34.097, -118.2157)",1
23435,"(34.097, -118.2307)",4
23436,"(34.097, -118.2327)",1
23437,"(34.097, -118.2553)",1
23438,"(34.097, -118.2613)",7
23439,"(34.097, -118.2665)",1
23440,"(34.097, -118.2768)",3
23441,"(34.097, -118.2841)",2
23442,"(34.097, -118.2918)",38
23443,"(34.097, -118.3332)",7
23444,"(34.097, -118.3353)",5
23445,"(34.097, -118.3386)",11
23446,"(34.097, -118.3405)",3
23447,"(34.097, -118.4594)",5
23448,"(34.0971, -118.2094)",1
23449,"(34.0971, -118.2122)",1
23450,"(34.0971, -118.2437)",2
23451,"(34.0971, -118.2581)",1
23452,"(34.0971, -118.2602)",1
23453,"(34.0971, -118.3237)",14
23454,"(34.0971, -118.3267)",21
23455,"(34.0971, -118.4178)",1
23456,"(34.0972, -118.2515)",1
23457,"(34.0972, -118.2592)",8
23458,"(34.0972, -118.2757)",22
23459,"(34.0972, -118.2787)",1
23460,"(34.0972, -118.4413)",3
23461,"(34.0973, -118.2116)",1
23462,"(34.0973, -118.2265)",4
23463,"(34.0973, -118.4368)",1
23464,"(34.0974, -118.2022)",2
23465,"(34.0974, -118.219)",1
23466,"(34.0974, -118.2367)",9
23467,"(34.0974, -118.245)",2
23468,"(34.0974, -118.4305)",1
23469,"(34.0975, -118.2136)",2
23470,"(34.0975, -118.2147)",2
23471,"(34.0975, -118.2431)",1
23472,"(34.0975, -118.2755)",16
23473,"(34.0975, -118.3136)",1
23474,"(34.0975, -118.3698)",1
23475,"(34.0975, -118.3904)",3
23476,"(34.0976, -118.1839)",1
23477,"(34.0976, -118.2316)",4
23478,"(34.0976, -118.2545)",1
23479,"(34.0976, -118.2862)",77
23480,"(34.0976, -118.3869)",2
23481,"(34.0976, -118.4209)",2
23482,"(34.0977, -118.1645)",1
23483,"(34.0977, -118.2295)",1
23484,"(34.0977, -118.2333)",5
23485,"(34.0977, -118.3695)",1
23486,"(34.0977, -118.3763)",3
23487,"(34.0977, -118.3818)",1
23488,"(34.0977, -118.3862)",1
23489,"(34.0978, -118.2077)",5
23490,"(34.0978, -118.2275)",8
23491,"(34.0978, -118.2567)",2
23492,"(34.0978, -118.2677)",1
23493,"(34.0978, -118.3817)",3
23494,"(34.0979, -118.1797)",5
23495,"(34.0979, -118.1839)",11
23496,"(34.0979, -118.2502)",1
23497,"(34.0979, -118.368)",2
23498,"(34.0979, -118.4009)",1
23499,"(34.0979, -118.4607)",1
23500,"(34.098, -118.1622)",1
23501,"(34.098, -118.1625)",1
23502,"(34.098, -118.1635)",1
23503,"(34.098, -118.1834)",3
23504,"(34.098, -118.2247)",3
23505,"(34.098, -118.2762)",1
23506,"(34.098, -118.3201)",10
23507,"(34.098, -118.3206)",13
23508,"(34.098, -118.3212)",1
23509,"(34.098, -118.3223)",189
23510,"(34.098, -118.3237)",81
23511,"(34.098, -118.3252)",61
23512,"(34.098, -118.3267)",205
23513,"(34.098, -118.3277)",51
23514,"(34.098, -118.3282)",8
23515,"(34.098, -118.3287)",111
23516,"(34.098, -118.3295)",167
23517,"(34.098, -118.3303)",18
23518,"(34.098, -118.331)",102
23519,"(34.098, -118.3314)",2
23520,"(34.098, -118.3316)",24
23521,"(34.098, -118.3324)",42
23522,"(34.098, -118.3332)",45
23523,"(34.098, -118.3338)",38
23524,"(34.098, -118.3353)",60
23525,"(34.098, -118.3363)",82
23526,"(34.098, -118.3365)",4
23527,"(34.098, -118.3366)",11
23528,"(34.098, -118.3376)",67
23529,"(34.098, -118.338)",32
23530,"(34.098, -118.3387)",168
23531,"(34.098, -118.3405)",120
23532,"(34.098, -118.3408)",1
23533,"(34.098, -118.3414)",116
23534,"(34.098, -118.3416)",38
23535,"(34.098, -118.3425)",101
23536,"(34.098, -118.3441)",265
23537,"(34.098, -118.3445)",82
23538,"(34.098, -118.3452)",50
23539,"(34.098, -118.3456)",19
23540,"(34.098, -118.3463)",36
23541,"(34.098, -118.3468)",26
23542,"(34.098, -118.3469)",8
23543,"(34.098, -118.347)",26
23544,"(34.098, -118.3479)",87
23545,"(34.098, -118.3483)",36
23546,"(34.098, -118.3489)",21
23547,"(34.098, -118.349)",60
23548,"(34.098, -118.3494)",2
23549,"(34.098, -118.3496)",20
23550,"(34.098, -118.35)",42
23551,"(34.098, -118.3506)",25
23552,"(34.098, -118.351)",33
23553,"(34.098, -118.3514)",2
23554,"(34.098, -118.3517)",24
23555,"(34.098, -118.3528)",66
23556,"(34.098, -118.363)",3
23557,"(34.098, -118.3643)",38
23558,"(34.098, -118.3645)",28
23559,"(34.098, -118.365)",20
23560,"(34.098, -118.3652)",81
23561,"(34.098, -118.3653)",8
23562,"(34.098, -118.3656)",129
23563,"(34.098, -118.3658)",17
23564,"(34.098, -118.3667)",27
23565,"(34.098, -118.3674)",32
23566,"(34.098, -118.4271)",1
23567,"(34.098, -118.4499)",3
23568,"(34.0981, -118.1832)",1
23569,"(34.0981, -118.2054)",46
23570,"(34.0981, -118.2161)",2
23571,"(34.0981, -118.2972)",22
23572,"(34.0981, -118.2983)",41
23573,"(34.0981, -118.2984)",23
23574,"(34.0981, -118.2994)",23
23575,"(34.0981, -118.2995)",9
23576,"(34.0981, -118.3005)",116
23577,"(34.0981, -118.3022)",19
23578,"(34.0981, -118.3032)",62
23579,"(34.0981, -118.3033)",1
23580,"(34.0981, -118.3044)",54
23581,"(34.0981, -118.3056)",101
23582,"(34.0981, -118.3071)",78
23583,"(34.0981, -118.3092)",215
23584,"(34.0981, -118.3093)",21
23585,"(34.0981, -118.3109)",99
23586,"(34.0981, -118.3113)",14
23587,"(34.0981, -118.3114)",56
23588,"(34.0981, -118.3136)",129
23589,"(34.0981, -118.3144)",2
23590,"(34.0981, -118.3145)",1
23591,"(34.0981, -118.3146)",5
23592,"(34.0981, -118.3147)",1
23593,"(34.0981, -118.3158)",133
23594,"(34.0981, -118.3159)",3
23595,"(34.0981, -118.318)",104
23596,"(34.0981, -118.319)",27
23597,"(34.0981, -118.3196)",5
23598,"(34.0981, -118.3197)",28
23599,"(34.0981, -118.3201)",4
23600,"(34.0981, -118.3528)",17
23601,"(34.0981, -118.3539)",29
23602,"(34.0981, -118.355)",57
23603,"(34.0981, -118.3561)",19
23604,"(34.0981, -118.3562)",7
23605,"(34.0981, -118.3567)",1
23606,"(34.0981, -118.3571)",25
23607,"(34.0981, -118.3572)",9
23608,"(34.0981, -118.3577)",32
23609,"(34.0981, -118.3582)",29
23610,"(34.0981, -118.3583)",4
23611,"(34.0981, -118.3593)",16
23612,"(34.0981, -118.3594)",11
23613,"(34.0981, -118.3604)",29
23614,"(34.0981, -118.3605)",11
23615,"(34.0981, -118.3615)",103
23616,"(34.0981, -118.3616)",52
23617,"(34.0981, -118.3628)",49
23618,"(34.0981, -118.3629)",10
23619,"(34.0981, -118.363)",6
23620,"(34.0981, -118.3742)",4
23621,"(34.0982, -118.2233)",6
23622,"(34.0982, -118.2325)",7
23623,"(34.0982, -118.2552)",3
23624,"(34.0982, -118.2787)",9
23625,"(34.0982, -118.2797)",8
23626,"(34.0982, -118.2807)",2
23627,"(34.0982, -118.2819)",6
23628,"(34.0982, -118.283)",6
23629,"(34.0982, -118.2841)",7
23630,"(34.0982, -118.2852)",9
23631,"(34.0982, -118.2862)",5
23632,"(34.0982, -118.2863)",3
23633,"(34.0982, -118.2871)",3
23634,"(34.0982, -118.2874)",40
23635,"(34.0982, -118.2885)",23
23636,"(34.0982, -118.2895)",36
23637,"(34.0982, -118.2896)",12
23638,"(34.0982, -118.2918)",160
23639,"(34.0982, -118.2929)",31
23640,"(34.0982, -118.294)",9
23641,"(34.0982, -118.295)",13
23642,"(34.0982, -118.2961)",100
23643,"(34.0982, -118.3768)",3
23644,"(34.0982, -118.4568)",3
23645,"(34.0983, -118.1684)",2
23646,"(34.0983, -118.2196)",1
23647,"(34.0983, -118.2436)",2
23648,"(34.0983, -118.2592)",16
23649,"(34.0983, -118.2602)",6
23650,"(34.0983, -118.3145)",2
23651,"(34.0983, -118.4422)",6
23652,"(34.0984, -118.2283)",5
23653,"(34.0984, -118.2514)",1
23654,"(34.0984, -118.2709)",3
23655,"(34.0984, -118.2874)",35
23656,"(34.0984, -118.3687)",4
23657,"(34.0984, -118.3899)",1
23658,"(34.0984, -118.4039)",1
23659,"(34.0985, -118.2339)",12
23660,"(34.0985, -118.2483)",40
23661,"(34.0985, -118.2697)",1
23662,"(34.0986, -118.1552)",1
23663,"(34.0986, -118.1554)",15
23664,"(34.0986, -118.1567)",5
23665,"(34.0986, -118.158)",2
23666,"(34.0986, -118.1591)",1
23667,"(34.0986, -118.2257)",1
23668,"(34.0986, -118.2449)",1
23669,"(34.0986, -118.2729)",2
23670,"(34.0986, -118.2762)",1
23671,"(34.0986, -118.2962)",54
23672,"(34.0986, -118.3704)",2
23673,"(34.0986, -118.3784)",7
23674,"(34.0986, -118.384)",1
23675,"(34.0986, -118.388)",35
23676,"(34.0986, -118.4518)",2
23677,"(34.0987, -118.1603)",1
23678,"(34.0987, -118.2102)",1
23679,"(34.0987, -118.3337)",132
23680,"(34.0987, -118.4012)",1
23681,"(34.0987, -118.5037)",1
23682,"(34.0988, -118.2062)",21
23683,"(34.0988, -118.248)",3
23684,"(34.0988, -118.2716)",1
23685,"(34.0988, -118.3747)",2
23686,"(34.0988, -118.3897)",2
23687,"(34.0989, -118.2117)",1
23688,"(34.0989, -118.2132)",1
23689,"(34.0989, -118.2313)",2
23690,"(34.0989, -118.2739)",11
23691,"(34.0989, -118.3223)",2
23692,"(34.0989, -118.3456)",1
23693,"(34.0989, -118.3668)",2
23694,"(34.0989, -118.3669)",1
23695,"(34.0989, -118.3801)",2
23696,"(34.0989, -118.3896)",3
23697,"(34.0989, -118.4572)",1
23698,"(34.099, -118.1813)",1
23699,"(34.099, -118.1839)",1
23700,"(34.099, -118.2292)",4
23701,"(34.099, -118.2331)",11
23702,"(34.099, -118.2491)",12
23703,"(34.099, -118.2673)",1
23704,"(34.099, -118.2739)",1
23705,"(34.099, -118.3205)",2
23706,"(34.099, -118.3707)",3
23707,"(34.099, -118.3727)",3
23708,"(34.099, -118.3887)",3
23709,"(34.099, -118.4025)",1
23710,"(34.0991, -118.2739)",1
23711,"(34.0991, -118.2786)",7
23712,"(34.0991, -118.2806)",2
23713,"(34.0991, -118.283)",3
23714,"(34.0991, -118.2896)",5
23715,"(34.0991, -118.2918)",76
23716,"(34.0992, -118.2204)",2
23717,"(34.0992, -118.2345)",3
23718,"(34.0992, -118.3414)",33
23719,"(34.0992, -118.3445)",20
23720,"(34.0992, -118.3447)",8
23721,"(34.0992, -118.3685)",1
23722,"(34.0992, -118.4038)",1
23723,"(34.0992, -118.423)",1
23724,"(34.0993, -118.1778)",1
23725,"(34.0993, -118.2456)",4
23726,"(34.0993, -118.2837)",20
23727,"(34.0993, -118.3114)",8
23728,"(34.0993, -118.3136)",11
23729,"(34.0993, -118.3159)",6
23730,"(34.0993, -118.3166)",7
23731,"(34.0993, -118.318)",8
23732,"(34.0993, -118.3747)",2
23733,"(34.0993, -118.3804)",3
23734,"(34.0994, -118.2035)",10
23735,"(34.0994, -118.2438)",2
23736,"(34.0994, -118.2874)",2
23737,"(34.0994, -118.289)",18
23738,"(34.0994, -118.3005)",10
23739,"(34.0994, -118.3022)",5
23740,"(34.0994, -118.3077)",1
23741,"(34.0994, -118.3093)",40
23742,"(34.0994, -118.3136)",4
23743,"(34.0994, -118.3147)",3
23744,"(34.0994, -118.3825)",1
23745,"(34.0994, -118.3893)",1
23746,"(34.0994, -118.4022)",1
23747,"(34.0995, -118.2892)",20
23748,"(34.0995, -118.3712)",1
23749,"(34.0995, -118.3751)",2
23750,"(34.0995, -118.3771)",9
23751,"(34.0995, -118.3775)",1
23752,"(34.0995, -118.3867)",2
23753,"(34.0996, -117.7059)",2
23754,"(34.0996, -117.7166)",1
23755,"(34.0996, -118.179)",5
23756,"(34.0996, -118.2182)",1
23757,"(34.0996, -118.2301)",5
23758,"(34.0996, -118.2337)",11
23759,"(34.0996, -118.25)",20
23760,"(34.0996, -118.4324)",20
23761,"(34.0997, -118.2694)",1
23762,"(34.0997, -118.3206)",2
23763,"(34.0997, -118.3223)",10
23764,"(34.0997, -118.3338)",3
23765,"(34.0997, -118.335)",16
23766,"(34.0997, -118.3361)",38
23767,"(34.0997, -118.3363)",12
23768,"(34.0997, -118.337)",13
23769,"(34.0997, -118.3376)",2
23770,"(34.0997, -118.3387)",80
23771,"(34.0997, -118.4354)",1
23772,"(34.0997, -118.4435)",33
23773,"(34.0998, -118.2106)",3
23774,"(34.0998, -118.2502)",8
23775,"(34.0998, -118.2554)",1
23776,"(34.0998, -118.2681)",1
23777,"(34.0998, -118.2726)",2
23778,"(34.0998, -118.3211)",40
23779,"(34.0998, -118.3223)",13
23780,"(34.0998, -118.3237)",32
23781,"(34.0998, -118.3244)",5
23782,"(34.0998, -118.3252)",33
23783,"(34.0998, -118.3267)",104
23784,"(34.0998, -118.3277)",3
23785,"(34.0998, -118.3282)",30
23786,"(34.0998, -118.3288)",13
23787,"(34.0998, -118.3295)",98
23788,"(34.0998, -118.331)",80
23789,"(34.0998, -118.3324)",49
23790,"(34.0998, -118.3325)",12
23791,"(34.0998, -118.3334)",1
23792,"(34.0998, -118.3338)",18
23793,"(34.0998, -118.3447)",18
23794,"(34.0998, -118.3456)",20
23795,"(34.0998, -118.3468)",8
23796,"(34.0998, -118.3478)",5
23797,"(34.0998, -118.3479)",8
23798,"(34.0998, -118.3489)",17
23799,"(34.0998, -118.35)",14
23800,"(34.0998, -118.3502)",7
23801,"(34.0998, -118.351)",4
23802,"(34.0998, -118.3653)",8
23803,"(34.0998, -118.3654)",4
23804,"(34.0998, -118.3656)",3
23805,"(34.0998, -118.4345)",4
23806,"(34.0999, -118.2141)",2
23807,"(34.0999, -118.2239)",1
23808,"(34.0999, -118.2448)",1
23809,"(34.0999, -118.2525)",1
23810,"(34.0999, -118.2717)",2
23811,"(34.0999, -118.2763)",2
23812,"(34.0999, -118.3038)",23
23813,"(34.0999, -118.3115)",2
23814,"(34.0999, -118.3519)",5
23815,"(34.0999, -118.3528)",10
23816,"(34.0999, -118.3539)",5
23817,"(34.0999, -118.3572)",1
23818,"(34.0999, -118.3583)",3
23819,"(34.0999, -118.3594)",2
23820,"(34.0999, -118.3605)",2
23821,"(34.0999, -118.3616)",14
23822,"(34.0999, -118.3629)",7
23823,"(34.0999, -118.3643)",43
23824,"(34.0999, -118.3752)",2
23825,"(34.0999, -118.3877)",1
23826,"(34.0999, -118.4436)",13
23827,"(34.0999, -118.4629)",5
23828,"(34.1, -118.2072)",3
23829,"(34.1, -118.2143)",3
23830,"(34.1, -118.2257)",2
23831,"(34.1, -118.2313)",2
23832,"(34.1, -118.2463)",12
23833,"(34.1, -118.2804)",3
23834,"(34.1, -118.283)",8
23835,"(34.1, -118.284)",3
23836,"(34.1, -118.2841)",1
23837,"(34.1, -118.2852)",4
23838,"(34.1, -118.2863)",5
23839,"(34.1, -118.2874)",27
23840,"(34.1, -118.2885)",2
23841,"(34.1, -118.2972)",1
23842,"(34.1, -118.2984)",3
23843,"(34.1, -118.2995)",2
23844,"(34.1, -118.3056)",4
23845,"(34.1, -118.3113)",45
23846,"(34.1, -118.3676)",3
23847,"(34.1, -118.383)",1
23848,"(34.1, -118.4022)",1
23849,"(34.1001, -118.2082)",1
23850,"(34.1001, -118.2237)",1
23851,"(34.1001, -118.2534)",2
23852,"(34.1001, -118.2563)",3
23853,"(34.1001, -118.2572)",2
23854,"(34.1001, -118.258)",5
23855,"(34.1001, -118.29)",15
23856,"(34.1001, -118.3071)",1
23857,"(34.1001, -118.3093)",1
23858,"(34.1001, -118.3779)",1
23859,"(34.1001, -118.3908)",2
23860,"(34.1002, -118.1967)",8
23861,"(34.1002, -118.2038)",1
23862,"(34.1002, -118.2096)",2
23863,"(34.1002, -118.2592)",15
23864,"(34.1002, -118.2918)",5
23865,"(34.1002, -118.2961)",2
23866,"(34.1002, -118.3716)",2
23867,"(34.1002, -118.3736)",3
23868,"(34.1002, -118.3805)",2
23869,"(34.1002, -118.454)",1
23870,"(34.1003, -118.1879)",3
23871,"(34.1003, -118.2191)",1
23872,"(34.1003, -118.2308)",2
23873,"(34.1003, -118.2343)",2
23874,"(34.1003, -118.2355)",20
23875,"(34.1003, -118.261)",21
23876,"(34.1003, -118.3022)",1
23877,"(34.1003, -118.3448)",21
23878,"(34.1003, -118.3468)",1
23879,"(34.1003, -118.3793)",1
23880,"(34.1003, -118.4595)",4
23881,"(34.1004, -118.2311)",2
23882,"(34.1004, -118.244)",2
23883,"(34.1004, -118.2607)",2
23884,"(34.1004, -118.274)",1
23885,"(34.1004, -118.3005)",1
23886,"(34.1004, -118.3387)",47
23887,"(34.1004, -118.3414)",37
23888,"(34.1004, -118.3433)",14
23889,"(34.1004, -118.3519)",1
23890,"(34.1004, -118.375)",4
23891,"(34.1005, -118.2287)",1
23892,"(34.1005, -118.2303)",1
23893,"(34.1005, -118.2312)",1
23894,"(34.1005, -118.2323)",2
23895,"(34.1005, -118.3071)",17
23896,"(34.1005, -118.3093)",30
23897,"(34.1005, -118.3115)",25
23898,"(34.1005, -118.3136)",26
23899,"(34.1005, -118.3148)",3
23900,"(34.1005, -118.3152)",3
23901,"(34.1005, -118.3166)",6
23902,"(34.1005, -118.318)",12
23903,"(34.1005, -118.3196)",5
23904,"(34.1005, -118.3205)",1
23905,"(34.1005, -118.3223)",12
23906,"(34.1005, -118.3224)",5
23907,"(34.1005, -118.3237)",6
23908,"(34.1005, -118.3727)",1
23909,"(34.1006, -117.7167)",1
23910,"(34.1006, -118.2469)",6
23911,"(34.1006, -118.2505)",3
23912,"(34.1006, -118.337)",6
23913,"(34.1006, -118.3387)",57
23914,"(34.1006, -118.3417)",141
23915,"(34.1006, -118.3675)",2
23916,"(34.1006, -118.3727)",1
23917,"(34.1006, -118.3843)",4
23918,"(34.1006, -118.3884)",1
23919,"(34.1006, -118.4468)",1
23920,"(34.1007, -118.1846)",3
23921,"(34.1007, -118.2319)",1
23922,"(34.1007, -118.2602)",10
23923,"(34.1007, -118.335)",8
23924,"(34.1007, -118.3494)",93
23925,"(34.1007, -118.3752)",1
23926,"(34.1008, -118.1876)",3
23927,"(34.1008, -118.2347)",8
23928,"(34.1008, -118.2592)",22
23929,"(34.1008, -118.2665)",1
23930,"(34.1008, -118.2668)",31
23931,"(34.1008, -118.2674)",2
23932,"(34.1008, -118.2677)",3
23933,"(34.1009, -118.2087)",4
23934,"(34.1009, -118.2507)",4
23935,"(34.1009, -118.258)",1
23936,"(34.1009, -118.2592)",33
23937,"(34.1009, -118.2702)",1
23938,"(34.1009, -118.2779)",5
23939,"(34.1009, -118.2804)",3
23940,"(34.1009, -118.283)",3
23941,"(34.1009, -118.284)",3
23942,"(34.1009, -118.2874)",8
23943,"(34.1009, -118.404)",1
23944,"(34.101, -117.772)",1
23945,"(34.101, -118.3682)",2
23946,"(34.1011, -118.2124)",1
23947,"(34.1011, -118.2329)",2
23948,"(34.1011, -118.2337)",5
23949,"(34.1011, -118.2343)",3
23950,"(34.1011, -118.2462)",1
23951,"(34.1011, -118.2563)",2
23952,"(34.1011, -118.2732)",25
23953,"(34.1011, -118.2752)",1
23954,"(34.1011, -118.3775)",1
23955,"(34.1012, -118.2112)",1
23956,"(34.1012, -118.2508)",8
23957,"(34.1012, -118.2775)",1
23958,"(34.1012, -118.2918)",51
23959,"(34.1013, -118.2363)",2
23960,"(34.1013, -118.2617)",2
23961,"(34.1013, -118.2724)",4
23962,"(34.1013, -118.2757)",2
23963,"(34.1013, -118.3451)",7
23964,"(34.1013, -118.3616)",17
23965,"(34.1013, -118.3643)",6
23966,"(34.1013, -118.3751)",1
23967,"(34.1013, -118.3811)",1
23968,"(34.1013, -118.4147)",1
23969,"(34.1013, -118.4163)",1
23970,"(34.1014, -118.1871)",3
23971,"(34.1014, -118.3605)",1
23972,"(34.1014, -118.3616)",43
23973,"(34.1014, -118.3643)",6
23974,"(34.1014, -118.3648)",4
23975,"(34.1014, -118.3783)",1
23976,"(34.1014, -118.3796)",2
23977,"(34.1015, -118.2309)",1
23978,"(34.1015, -118.244)",12
23979,"(34.1015, -118.2716)",1
23980,"(34.1015, -118.3605)",6
23981,"(34.1015, -118.3892)",4
23982,"(34.1015, -118.4166)",1
23983,"(34.1015, -118.4168)",1
23984,"(34.1015, -118.4545)",2
23985,"(34.1016, -117.7167)",1
23986,"(34.1016, -117.7246)",1
23987,"(34.1016, -117.7247)",2
23988,"(34.1016, -118.184)",2
23989,"(34.1016, -118.2178)",1
23990,"(34.1016, -118.2466)",2
23991,"(34.1016, -118.2708)",1
23992,"(34.1016, -118.3252)",104
23993,"(34.1016, -118.3267)",216
23994,"(34.1016, -118.3282)",54
23995,"(34.1016, -118.3288)",20
23996,"(34.1016, -118.3295)",141
23997,"(34.1016, -118.3297)",60
23998,"(34.1016, -118.331)",146
23999,"(34.1016, -118.3311)",16
24000,"(34.1016, -118.332)",19
24001,"(34.1016, -118.3322)",5
24002,"(34.1016, -118.3325)",30
24003,"(34.1016, -118.3333)",80
24004,"(34.1016, -118.3348)",54
24005,"(34.1016, -118.335)",16
24006,"(34.1016, -118.3361)",121
24007,"(34.1016, -118.337)",47
24008,"(34.1016, -118.3374)",17
24009,"(34.1016, -118.3387)",405
24010,"(34.1016, -118.3401)",4
24011,"(34.1016, -118.3414)",118
24012,"(34.1016, -118.3417)",34
24013,"(34.1016, -118.3433)",90
24014,"(34.1016, -118.3447)",8
24015,"(34.1016, -118.3448)",5
24016,"(34.1016, -118.3451)",1
24017,"(34.1016, -118.3452)",139
24018,"(34.1016, -118.3468)",66
24019,"(34.1016, -118.3478)",26
24020,"(34.1016, -118.3489)",77
24021,"(34.1016, -118.35)",18
24022,"(34.1016, -118.3502)",15
24023,"(34.1016, -118.4166)",3
24024,"(34.1016, -118.4698)",55
24025,"(34.1017, -118.2295)",2
24026,"(34.1017, -118.3093)",163
24027,"(34.1017, -118.3107)",32
24028,"(34.1017, -118.3114)",20
24029,"(34.1017, -118.3123)",49
24030,"(34.1017, -118.3136)",78
24031,"(34.1017, -118.3137)",7
24032,"(34.1017, -118.3147)",28
24033,"(34.1017, -118.3158)",59
24034,"(34.1017, -118.3165)",12
24035,"(34.1017, -118.3167)",7
24036,"(34.1017, -118.3174)",4
24037,"(34.1017, -118.318)",127
24038,"(34.1017, -118.3202)",1
24039,"(34.1017, -118.3224)",164
24040,"(34.1017, -118.3237)",18
24041,"(34.1017, -118.3245)",3
24042,"(34.1017, -118.3502)",7
24043,"(34.1017, -118.3511)",1
24044,"(34.1017, -118.3519)",30
24045,"(34.1017, -118.3528)",41
24046,"(34.1017, -118.3539)",26
24047,"(34.1017, -118.3545)",3
24048,"(34.1017, -118.355)",37
24049,"(34.1017, -118.3554)",5
24050,"(34.1017, -118.3561)",18
24051,"(34.1017, -118.3562)",11
24052,"(34.1017, -118.3572)",18
24053,"(34.1017, -118.3574)",5
24054,"(34.1017, -118.3582)",35
24055,"(34.1017, -118.3589)",13
24056,"(34.1017, -118.3594)",22
24057,"(34.1017, -118.3595)",2
24058,"(34.1017, -118.3737)",1
24059,"(34.1017, -118.3868)",1
24060,"(34.1017, -118.435)",2
24061,"(34.1018, -118.2254)",1
24062,"(34.1018, -118.2325)",3
24063,"(34.1018, -118.2786)",2
24064,"(34.1018, -118.2804)",4
24065,"(34.1018, -118.283)",11
24066,"(34.1018, -118.2839)",1
24067,"(34.1018, -118.2852)",12
24068,"(34.1018, -118.2874)",30
24069,"(34.1018, -118.2885)",4
24070,"(34.1018, -118.2896)",12
24071,"(34.1018, -118.2918)",120
24072,"(34.1018, -118.2931)",4
24073,"(34.1018, -118.2933)",27
24074,"(34.1018, -118.2942)",1
24075,"(34.1018, -118.2945)",24
24076,"(34.1018, -118.2962)",74
24077,"(34.1018, -118.2972)",48
24078,"(34.1018, -118.2984)",52
24079,"(34.1018, -118.2995)",45
24080,"(34.1018, -118.3005)",84
24081,"(34.1018, -118.3006)",10
24082,"(34.1018, -118.302)",34
24083,"(34.1018, -118.3022)",5
24084,"(34.1018, -118.3033)",34
24085,"(34.1018, -118.3034)",1
24086,"(34.1018, -118.3035)",26
24087,"(34.1018, -118.3044)",37
24088,"(34.1018, -118.305)",7
24089,"(34.1018, -118.3056)",49
24090,"(34.1018, -118.3071)",30
24091,"(34.1018, -118.3072)",15
24092,"(34.1018, -118.4364)",1
24093,"(34.1018, -118.4452)",9
24094,"(34.1019, -118.1979)",4
24095,"(34.1019, -118.2031)",16
24096,"(34.1019, -118.211)",4
24097,"(34.1019, -118.2264)",14
24098,"(34.1019, -118.228)",1
24099,"(34.1019, -118.2686)",2
24100,"(34.1019, -118.2741)",2
24101,"(34.102, -118.1821)",1
24102,"(34.102, -118.2115)",2
24103,"(34.102, -118.3654)",42
24104,"(34.102, -118.3686)",5
24105,"(34.1021, -118.1866)",2
24106,"(34.1021, -118.2021)",1
24107,"(34.1021, -118.2031)",2
24108,"(34.1021, -118.2174)",1
24109,"(34.1021, -118.2296)",1
24110,"(34.1021, -118.2484)",5
24111,"(34.1021, -118.3655)",15
24112,"(34.1022, -118.1865)",10
24113,"(34.1022, -118.2111)",2
24114,"(34.1022, -118.2352)",1
24115,"(34.1022, -118.2455)",15
24116,"(34.1022, -118.253)",2
24117,"(34.1022, -118.2684)",1
24118,"(34.1022, -118.27)",2
24119,"(34.1022, -118.3697)",1
24120,"(34.1022, -118.3791)",1
24121,"(34.1022, -118.3804)",3
24122,"(34.1022, -118.4219)",1
24123,"(34.1022, -118.4366)",5
24124,"(34.1023, -118.203)",4
24125,"(34.1023, -118.2371)",32
24126,"(34.1023, -118.2557)",3
24127,"(34.1024, -118.2071)",1
24128,"(34.1024, -118.2103)",1
24129,"(34.1024, -118.2109)",1
24130,"(34.1024, -118.2313)",2
24131,"(34.1024, -118.2546)",56
24132,"(34.1024, -118.2572)",1
24133,"(34.1024, -118.3616)",10
24134,"(34.1024, -118.3744)",1
24135,"(34.1025, -118.2326)",2
24136,"(34.1025, -118.248)",1
24137,"(34.1025, -118.2498)",1
24138,"(34.1026, -117.7779)",1
24139,"(34.1026, -118.2455)",1
24140,"(34.1026, -118.2526)",3
24141,"(34.1026, -118.269)",2
24142,"(34.1026, -118.3634)",2
24143,"(34.1026, -118.3642)",1
24144,"(34.1026, -118.4369)",8
24145,"(34.1027, -118.2363)",36
24146,"(34.1027, -118.2488)",3
24147,"(34.1027, -118.2592)",21
24148,"(34.1027, -118.2607)",1
24149,"(34.1027, -118.2634)",1
