,location,number_of_accidents
283,"(33.727, -118.3242)",8
284,"(33.7271, -118.3097)",3
285,"(33.7271, -118.3113)",41
286,"(33.7271, -118.3129)",12
287,"(33.7272, -118.2742)",1
288,"(33.7272, -118.3201)",1
289,"(33.7273, -118.3275)",6
290,"(33.7276, -118.3122)",1
291,"(33.7279, -118.2829)",1
292,"(33.7279, -118.2836)",4
293,"(33.7279, -118.2858)",8
294,"(33.7279, -118.288)",18
295,"(33.7279, -118.2902)",13
296,"(33.7279, -118.2924)",22
297,"(33.7279, -118.2946)",10
298,"(33.7279, -118.2968)",6
299,"(33.7279, -118.299)",7
300,"(33.7279, -118.3012)",6
301,"(33.7279, -118.3034)",1
302,"(33.7279, -118.3056)",1
303,"(33.7279, -118.3167)",1
304,"(33.728, -118.3078)",2
305,"(33.728, -118.3097)",2
306,"(33.7282, -118.3108)",1
307,"(33.7285, -118.3237)",2
308,"(33.7287, -118.2814)",5
309,"(33.7288, -118.2813)",2
310,"(33.7288, -118.2814)",1
311,"(33.7288, -118.2836)",3
312,"(33.7288, -118.2858)",10
313,"(33.7288, -118.288)",30
314,"(33.7288, -118.2902)",13
315,"(33.7288, -118.2924)",66
316,"(33.7288, -118.2946)",22
317,"(33.7288, -118.2968)",7
318,"(33.7288, -118.299)",7
319,"(33.7288, -118.3012)",5
320,"(33.7288, -118.3034)",2
321,"(33.7288, -118.312)",5
322,"(33.7289, -118.2846)",32
323,"(33.7289, -118.3056)",3
324,"(33.7289, -118.3144)",1
325,"(33.7291, -118.2383)",9
326,"(33.7293, -118.3145)",1
327,"(33.7293, -118.3162)",4
328,"(33.7294, -118.2798)",8
329,"(33.7294, -118.3185)",2
330,"(33.7297, -118.2805)",1
331,"(33.7297, -118.2814)",3
332,"(33.7297, -118.2836)",4
333,"(33.7297, -118.2857)",4
334,"(33.7297, -118.288)",7
335,"(33.7297, -118.2885)",3
336,"(33.7297, -118.2902)",10
337,"(33.7297, -118.2924)",26
338,"(33.7297, -118.2946)",2
339,"(33.7297, -118.3012)",4
340,"(33.7298, -118.3056)",3
341,"(33.7298, -118.3119)",2
342,"(33.7301, -118.28)",3
343,"(33.7306, -118.2805)",4
344,"(33.7306, -118.2814)",2
345,"(33.7306, -118.2836)",9
346,"(33.7306, -118.2857)",4
347,"(33.7306, -118.2879)",31
348,"(33.7306, -118.2902)",8
349,"(33.7306, -118.2924)",43
350,"(33.7306, -118.2946)",9
351,"(33.7306, -118.299)",6
352,"(33.7306, -118.3012)",3
353,"(33.7307, -118.3034)",3
354,"(33.7307, -118.3097)",4
355,"(33.7307, -118.3119)",2
356,"(33.7311, -118.3097)",3
357,"(33.7315, -118.2805)",2
358,"(33.7315, -118.2814)",12
359,"(33.7315, -118.2836)",10
360,"(33.7315, -118.2857)",7
361,"(33.7315, -118.2879)",29
362,"(33.7315, -118.2902)",4
363,"(33.7315, -118.2924)",42
364,"(33.7315, -118.2946)",11
365,"(33.7315, -118.2968)",1
366,"(33.7315, -118.299)",7
367,"(33.7315, -118.3012)",10
368,"(33.7316, -118.3034)",5
369,"(33.7316, -118.3056)",1
370,"(33.7316, -118.3097)",1
371,"(33.7316, -118.3129)",2
372,"(33.7318, -118.28)",1
373,"(33.732, -118.2957)",1
374,"(33.7321, -118.295)",31
